name, price, offer, link, image
SATO|NAZAL SPRAY 15ml,S$8.20,$10 OFF $60,/nazal-spray-15ml/p/BP_11112,/medias/sys_master/front/cat/8875991367710.jpg
MENTHOLATUM|Ointment 28g,S$4.20,$10 OFF $60,/ointment-28g/p/BP_10532,/medias/sys_master/front/cat/8879613149214.jpg
BREATHE RIGHT|Nasal Strips For Normal Skin Large 12s,S$8.90,$10 OFF $60,/nasal-strips-for-normal-skin-large-12s/p/BP_11307,/medias/sys_master/front/cat/8887769595934.jpg
MENTHOLATUM|Cherry Chest Rub 28g,S$5.10,$10 OFF $60,/cherry-chest-rub-28g/p/BP_10016,/medias/sys_master/front/cat/8879554822174.jpg
BREATHE RIGHT|Nasal Strips Kids 12s,S$8.90,$10 OFF $60,/nasal-strips-kids-12s/p/BP_10250,/medias/sys_master/front/cat/8887743086622.jpg
EU YAN SANG|EU YAN SANG FLU RELIEF 5G X 10,S$18.50,$10 OFF $60,/eu-yan-sang-flu-relief-5g-x-10/p/BP_83726,/medias/sys_master/front/cat/8881104551966.jpg
MENTHOLATUM|Nasal Inhaler 1g,S$2.30,$10 OFF $60,/nasal-inhaler-1g/p/BP_12942,/medias/sys_master/front/cat/8879623831582.jpg
SATO|NAZAL SPRAY PUMP 30ml,S$14.60,$10 OFF $60,/nazal-spray-pump-30ml/p/BP_10500,/medias/sys_master/front/cat/8876053168158.jpg
CLARITYN®|24hr Tablets 10s,S$12.90,$10 OFF $60,/24hr-tablets-10s/p/BP_84303,/medias/sys_master/front/cat/8807213531166.jpg
ZYRTEC|Zyrtec-R,S$13.00,$10 OFF $60,/zyrtec-r/p/BP_84135,/medias/sys_master/front/cat/8851800293406/Zyrtec-R-BP_84135.jpg
OLBAS OIL|Olbas Oil 28ml,S$11.95,$10 OFF $60,/olbas-oil-28ml/p/BP_12387,/medias/sys_master/front/cat/8803119792158.jpg
BREATHE RIGHT|Nasal Strips For Normal Skin Meidum 12s,S$8.90,$10 OFF $60,/nasal-strips-for-normal-skin-meidum-12s/p/BP_11308,/medias/sys_master/front/cat/8887733026846.jpg
HERITAGE|Vapor Soove 30g,S$5.90,$10 OFF $60,/vapor-soove-30g/p/BP_20368,/medias/sys_master/front/cat/8870213943326.jpg
HERITAGE|Cold & Flu Formula 60's,S$32.00,$10 OFF $60,/cold-flu-formula-60-s/p/BP_20920,/medias/sys_master/front/cat/8870230949918.jpg
