name, price, offer, link, image
CALPOL|Suspension 70ml,S$8.90,$10 OFF $60,/suspension-70ml/p/BP_14104,/medias/sys_master/front/cat/8887734763550.jpg
NUROFEN|For Children 60ml,S$8.00,$10 OFF $60,/for-children-60ml/p/BP_99379,/medias/sys_master/front/cat/8887753080862.jpg
NUROFEN|Express 342mg 12s,S$6.30,$10 OFF $60,/express-342mg-12s/p/BP_34886,/medias/sys_master/front/cat/8887784243230.jpg
EU YAN SANG|EU YAN SANG FEVER RELIEF 3G X 10,S$16.50,$10 OFF $60,/eu-yan-sang-fever-relief-3g-x-10/p/BP_83728,/medias/sys_master/front/cat/8881122443294.jpg
PANADOL| SOLUBLE 12S MAHS1300469,S$6.85,$10 OFF $60,/-soluble-12s-br-br-mahs1300469/p/BP_28806,/medias/sys_master/front/cat/8852166672414.jpg
WATSONS|Hot/Cold pack,S$8.17,$10 OFF $60,/hot-cold-pack/p/BP_99678,/medias/sys_master/front/cat/8843675238430.jpg
PANADOL|COLD RELIEF PE 12s MAHS1600085,S$8.80,$10 OFF $60,/cold-relief-pe-12s-br-br-mahs1600085/p/BP_69232,/medias/sys_master/front/cat/8852165394462.jpg
PANADOL| EXTRA WITH OPTIZORB 120S MAHS1600085,S$46.80,$10 OFF $60,/-extra-with-optizorb-120s-br-br-mahs1600085/p/BP_78529,/medias/sys_master/front/cat/8852152418334.jpg
KODOMO|Cooling Adhesive Babies 6s,S$6.60,$10 OFF $60,/cooling-adhesive-babies-6s/p/BP_79647,/medias/sys_master/front/cat/8830899453982.jpg
KOOLFEVER|For Children 6s,S$5.35,$10 OFF $60,/for-children-6s/p/BP_10438,/medias/sys_master/front/cat/8819718094878.jpg
KOOLFEVER|Soft Cooling Gel Pillow 1s,S$11.61,$10 OFF $60,/soft-cooling-gel-pillow-1s/p/BP_38009,/medias/sys_master/front/cat/8821185740830.jpg
PANADOL| MENSTRUAL 20S MAHS0400757,S$7.85,$10 OFF $60,/-menstrual-20s-br-br-mahs0400757/p/BP_10598,/medias/sys_master/front/cat/8852186595358.jpg
PANADOL| SINUS MAX CAP 12S MAHS1400576,S$8.80,$10 OFF $60,/-sinus-max-cap-12s-br-br-mahs1400576/p/BP_38762,/medias/sys_master/front/cat/8852163624990.jpg
PANADOL| WITH OPTIZORB 20S MAHS1500089,S$6.85,$10 OFF $60,/-with-optizorb-20s-br-br-mahs1500089/p/BP_39967,/medias/sys_master/front/cat/8852185317406.jpg
KOOLFEVER|For Adults 6s,S$5.35,$10 OFF $60,/for-adults-6s/p/BP_99744,/medias/sys_master/front/cat/8820001374238.jpg
PANADOL|Extend for Muscle & Joint Pain 18s,S$7.85,$10 OFF $60,/extend-for-muscle-joint-pain-18s/p/BP_13813,/medias/sys_master/front/cat/8852602486814.jpg
BYE BYE|Bye Bye Fever for Babies 4's,S$3.40,$10 OFF $60,/bye-bye-fever-for-babies-4-s/p/BP_64711,/medias/sys_master/front/cat/8844080119838.jpg
BYE BYE|Bye Bye Fever Super Cool,S$6.10,$10 OFF $60,/bye-bye-fever-super-cool/p/BP_82607,/medias/sys_master/front/cat/8820020346910.jpg
KOOLFEVER|For Babies 4s,S$4.05,$10 OFF $60,/for-babies-4s/p/BP_11701,/medias/sys_master/front/cat/8884895055902.jpg
KODOMO|Cooling Adhesive 6s,S$6.60,$10 OFF $60,/cooling-adhesive-6s/p/BP_83942,/medias/sys_master/front/cat/8830890180638.jpg
BYE BYE|Bye ByeFever for Children,S$6.10,$10 OFF $60,/bye-byefever-for-children/p/BP_10009,/medias/sys_master/front/cat/8844082741278.jpg
KOOLFEVER|Koolfever For Body 14s,S$6.21,$10 OFF $60,/koolfever-for-body-14s/p/BP_99745,/medias/sys_master/front/cat/8821204254750.jpg
PANADOL| EXTRA WITH OPTIZORB 20S MAHS1600085,S$7.85,$10 OFF $60,/-extra-with-optizorb-20s-br-br-mahs1600085/p/BP_78530,/medias/sys_master/front/cat/8852174831646.jpg
PANADOL|COLD & FLU HOT REMEDY 5S MAHS1400576,S$5.90,$10 OFF $60,/cold-flu-hot-remedy-5s-br-br-mahs1400576/p/BP_11704,/medias/sys_master/front/cat/8852181843998.jpg
PANADOL| COUGH & COLD 16S MAHS1400576,S$9.80,$10 OFF $60,/-cough-cold-16s-br-br-mahs1400576/p/BP_43324,/medias/sys_master/front/cat/8852184825886.jpg
WATSONS|Cooling Gel Patch - For Kids,S$3.43,$10 OFF $60,/cooling-gel-patch-for-kids/p/BP_54591,/medias/sys_master/front/cat/8826827964446.jpg
PANADOL| WITH OPTIZORB 120S MAHS1500089,S$41.10,$10 OFF $60,/-with-optizorb-120s-br-br-mahs1500089/p/BP_39966,/medias/sys_master/front/cat/8852151992350.jpg
HERITAGE|Rheuma Patch 14's,S$10.00,$10 OFF $60,/rheuma-patch-14-s/p/BP_20314,/medias/sys_master/front/cat/8870227410974.jpg
ICM PHARMA|Paximol Oral Mixture 100mL,S$6.75,$10 OFF $60,/paximol-oral-mixture-100ml/p/BP_10306,/medias/sys_master/front/cat/8851862618142.jpg
HERITAGE|Hung Far Oil 30ml,S$6.20,$10 OFF $60,/hung-far-oil-30ml/p/BP_14660,/medias/sys_master/front/cat/8870233931806.jpg
